DateTime,FAIR-D3
2023-08-23 06:00:00,0.0
2023-08-23 08:00:00,9.0
2023-08-23 10:00:00,4.0
2023-08-23 12:00:00,4.0
2023-08-23 14:00:00,2.0
2023-08-23 16:00:00,3.0
2023-08-23 18:00:00,1.0
2023-08-24 06:00:00,0.0
2023-08-24 08:00:00,2.0
2023-08-24 10:00:00,6.0
2023-08-24 12:00:00,1.0
2023-08-24 14:00:00,3.0
2023-08-24 16:00:00,3.0
2023-08-24 18:00:00,3.0
2023-08-25 06:00:00,1.0
2023-08-25 08:00:00,5.0
2023-08-25 10:00:00,5.0
2023-08-25 12:00:00,2.0
2023-08-25 14:00:00,3.0
2023-08-25 16:00:00,6.0
2023-08-25 18:00:00,2.0
2023-08-26 06:00:00,3.0
2023-08-26 08:00:00,7.0
2023-08-26 10:00:00,13.0
2023-08-26 12:00:00,12.0
2023-08-26 14:00:00,9.0
2023-08-26 16:00:00,2.0
2023-08-26 18:00:00,0.0
2023-08-27 06:00:00,0.0
2023-08-27 08:00:00,2.0
2023-08-27 10:00:00,12.0
2023-08-27 12:00:00,8.0
2023-08-27 14:00:00,6.0
2023-08-27 16:00:00,2.0
2023-08-27 18:00:00,0.0
2023-08-28 06:00:00,0.0
2023-08-28 08:00:00,2.0
2023-08-28 10:00:00,2.0
2023-08-28 12:00:00,1.0
2023-08-28 14:00:00,0.0
2023-08-28 16:00:00,0.0
2023-08-28 18:00:00,0.0
2023-08-29 06:00:00,0.0
2023-08-29 08:00:00,1.0
2023-08-29 10:00:00,0.0
2023-08-29 12:00:00,2.0
2023-08-29 14:00:00,7.0
2023-08-29 16:00:00,4.0
2023-08-29 18:00:00,1.0
2023-08-30 06:00:00,0.0
2023-08-30 08:00:00,1.0
2023-08-30 10:00:00,5.0
2023-08-30 12:00:00,8.0
2023-08-30 14:00:00,3.0
2023-08-30 16:00:00,2.0
2023-08-30 18:00:00,0.0
2023-08-31 06:00:00,0.0
2023-08-31 08:00:00,1.0
2023-08-31 10:00:00,1.0
2023-08-31 12:00:00,1.0
2023-08-31 14:00:00,4.0
2023-08-31 16:00:00,1.0
2023-08-31 18:00:00,2.0
2023-09-01 06:00:00,2.0
2023-09-01 08:00:00,3.0
2023-09-01 10:00:00,3.0
2023-09-01 12:00:00,2.0
2023-09-01 14:00:00,6.0
2023-09-01 16:00:00,2.0
2023-09-01 18:00:00,0.0
